0%/0%/Albert%/444-778-8194%/Berlin
1%/2%/Anna%/7722-7454-456%/Madrid, Green str.,211
7%/0%/Denis%/074-041-4147%/Dnipro
9%/0%/Martin Shultz%/774-549-7014%/Berlin
77%/7%/Alice Gallagher%/160-302-1366%/Vilnius
78%/7%/Nancie Fitzpatrick%/153-311-4535%/Stockholm
79%/7%/Sarah-Jane Leon%/075-333-8796%/Istanbul
80%/7%/Arnie Stubbs%/842-730-6626%/Vienna
81%/7%/Roberto Rios%/597-732-3989%/Frankfurt
82%/7%/Billie Fridman%/956-101-2488%/Bucharest
83%/7%/Hibba Calhoun%/193-861-7693%/Turin
84%/7%/Kalvin Mack%/524-822-4147%/Kyiv
85%/7%/Elyse Greenwood%/351-400-5376%/Zagreb
86%/7%/Tillie Ford%/677-412-1711%/Paris
87%/7%/Mohamed Ashton%/065-555-6471%/Marsel
88%/7%/Jawad Curtis%/081-942-9198%/Berlin
89%/7%/Heather Cabrera%/284-245-9650%/Bonn
90%/7%/Lily-Mai Stephenson%/611-825-4593%/Hamburg
91%/7%/Rumaysa Corbett%/709-998-1129%/Prague
92%/7%/Arnie Portillo%/943-807-2358%/Bonn
93%/7%/Kacy Washington%/779-868-9094%/Rome
94%/7%/Brendan Barton%/121-404-4915%/Milan
95%/7%/Wiktoria Betts%/264-220-6043%/Lissabon
96%/7%/Jacob Hardy%/104-270-1075%/Warsaw
97%/7%/Delia Thorpe%/433-739-3860%/Bucharest
98%/7%/Macey Bonilla%/748-974-6039%/Vien
99%/7%/Justin Watkins%/385-723-7523%/Naples
100%/7%/Pascal Macfarlane%/692-450-2386%/Cologne
101%/7%/Georgina Eaton%/747-799-4109%/Birmingham
102%/7%/Sade Galindo%/105-940-9727%/Kharkiv
103%/7%/Dana Ritter%/619-535-1279%/Hamburg
104%/7%/Zhane Tate%/345-611-9045%/Munich
105%/7%/Zeshan Pennington%/342-005-6932%/Sofia
106%/7%/Saara Harris%/149-126-1533%/Florence
107%/7%/Nada Potter%/389-293-5143%/Turin
108%/7%/Elodie Rosa%/078-392-1773%/Budapest
109%/7%/Iwan Griffin%/438-045-4560%/Lyon
110%/7%/Yuvaan Mohamed%/635-356-9492%/Stockholm
111%/7%/Mimi Wallis%/475-687-9683%/Madrid
112%/7%/Lloyd Regan%/588-231-1468%/Reykjavik
113%/7%/Humera Farmer%/609-623-4842%/Edinburgh
114%/7%/Alanna Glenn%/817-748-6470%/Riga
115%/7%/Ellie-Louise Felix%/105-754-6066%/Dublin
116%/7%/Haniya Finley%/183-087-7698%/Vilnius
117%/7%/Quinn Coombes%/063-974-9736%/Marseille
118%/7%/Anniyah Ball%/722-947-2902%/Glasgow
119%/7%/Ayana Kavanagh%/048-841-5064%/Amsterdam
120%/7%/Lainey Branch%/788-799-6370%/Ljubljana
121%/7%/Amelia Guy%/954-528-2640%/Bucharest
122%/7%/Bella Allan%/552-764-5923%/Birmingham
123%/7%/Laiba Compton%/337-255-5053%/Warsaw
124%/7%/Tevin Huber%/704-687-3844%/Manchester
125%/7%/Yasmin Farrow%/480-678-8072%/Oslo
126%/7%/Merlin Robinson%/036-948-2912%/Vilnius
127%/7%/Shaurya Burris%/487-889-6205%/Stockholm
128%/7%/Jeanne Church%/068-239-6981%/Istanbul
129%/7%/Caiden Appleton%/764-405-4806%/Vienna
130%/2%/Nick%/34-741-456-74%/Madrid
